No,Produk,Ulasan,Rating
1,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 502,"Oke enak ga begitu keras, pas",1
2,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 503,"Kecewa sih pekerjanya ngga teliti, masa pesan dua dikirim satu",1
3,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 504,"Basrengnya pahit, bau sabun lagi",1
4,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 505,penjual tidak amanah beli 500 gr dikirim 250 gr,1
5,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 506,sobek plastiknya… berantakan Basrengnya,1
6,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 507,basrengnya alot,1
7,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 508,Rasanya sangat buruk sekali seperti ada rasa sabunnya.,1
8,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 509,"bumbunya kurang terasa, basrengnya amis, gatel",1
9,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 510,Saya sudah beli 3 kali di sini gak mengecewakan tapi kali ini banyak yang gosong,1
10,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 511,rasanya pahit pahit gosong,1
11,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 512,alot,1
12,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 513,keras kaya batu,1
13,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 514,basrengnya gosong semua pahit banget,1
14,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 515,Basrengnya melempem dan bolong-bolong,1
15,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 516,pahit pol,1
16,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 517,agak hambar dan bumbunya hanya sedikit,1
17,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 518,"Rasanya pahit, bumbunya kurang",1
18,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 519,Basrengnya kaya rasa gosong,1
19,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 520,Keras,1
20,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 521,Basrengnya banyak yang melempem sih ini,1
21,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 522,gosong,1
22,Basreng daun jeruk pedas original bakso goreng basreng 250 GRAM 523,basrengnya ayem,1
23,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Sumpah deh asin banget mbak saya rugi beli 1kg ga bisa dimakan juga asin banget,1
24,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya tak enak,1
25,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya kaya digigit tikus,1
26,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Gak recommended. Berminyak parah…,1
27,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,"Asin banget dah kaya makan garam, ga kerasa pedesnya dan lebih kerasa kaya digoreng pake minyak jelantah",1
28,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Basrengnya udah ALOT alias MELEMPEM!!!,1
29,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,sumpah aku ga bohong. Bukan mau menjatuhkan tapi rasa baso acinya itu asem kaya basi gitu.,1
30,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,keras banget,1
31,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Masih kecium bau amis dari basrengnya terus potongannya ga sesuai terus rasanya juga jadi ga enak di lidah,1
32,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,Saran aja gorengnya minyaknya diganti jadi ga kayak basreng apek pas dimakan ngerasa makan basreng lama. Untuk gurih masih gurih tapi pas dimakan yah begitu no no,1
33,BASRENG VIRAL | BAKSO GORENG PEDES DAUN JERUK | BAKSO GORENG,rasa pedas tidak ada apalagi daun jeruknya tidak kerasa sama sekali. Udah gitu potongannya gede gede bahkan ada yang lengket gede gitu. Lain kali diperhatikan. Trauma jadinya sekian,1
